序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1504,300616,尚品宅配,12.28,2.08,0.25,57109.0,70726491.0,3.91,12.53,12.06,12.06,12.03,0.61,3.66,-17.74,0.82,2757056234.0,1915265452.0,-0.24,-0.16,4.6,0.24
1505,002495,佳隆股份,2.45,2.08,0.05,458112.0,114301831.57,8.75,2.62,2.41,2.41,2.4,0.93,6.72,244.92,2.05,2292282720.0,1669001079.0,-0.41,-0.41,2.08,-3.54
1506,300668,杰恩设计,17.18,2.08,0.35,9938.0,17150514.0,3.15,17.45,16.92,17.07,16.83,1.02,1.07,-319.2,2.81,2068150270.0,1594270705.0,-0.35,-0.23,-11.12,-24.18
1507,600668,尖峰集团,12.34,2.07,0.25,305528.0,384483703.0,7.86,13.14,12.19,12.77,12.09,1.54,8.88,1.82,0.74,4245994438.0,4245994438.0,0.0,0.49,22.79,21.58
1508,600198,大唐电信,7.88,2.07,0.16,146294.0,114991535.0,2.98,7.94,7.71,7.76,7.72,1.17,1.12,-34.82,41.45,10272395903.0,10259364456.0,0.0,-0.13,-1.62,-8.69
1509,688692,达梦数据,361.12,2.07,7.31,6686.0,241893707.0,4.4,367.6,352.03,352.03,353.81,0.81,4.4,69.9,8.23,27445120000.0,5489024000.0,-0.11,0.04,-2.14,-0.77
1510,603377,ST东时,2.96,2.07,0.06,50794.0,14921313.0,6.21,2.99,2.81,2.81,2.9,0.61,0.71,-11.02,2.45,2116007211.0,2116007211.0,0.0,0.34,35.16,23.33
1511,300512,中亚股份,7.38,2.07,0.15,28763.0,21205556.0,2.35,7.44,7.27,7.27,7.23,1.05,0.88,43.21,1.86,3008389658.0,2424622624.0,0.0,0.0,5.13,8.37
1512,000697,ST炼石,6.42,2.07,0.13,59428.0,38112140.38,3.66,6.5,6.27,6.27,6.29,0.36,1.01,-26.01,61.32,5605307624.0,3793555074.0,-0.16,-0.16,-15.53,-27.29
1513,002326,永太科技,10.37,2.07,0.21,204892.0,211880706.51,2.95,10.46,10.16,10.2,10.16,1.09,2.55,226.81,3.54,9596406244.0,8337821536.0,0.0,-0.1,24.19,16.0
1514,600054,黄山旅游,11.84,2.07,0.24,149443.0,176335935.0,2.59,11.92,11.62,11.7,11.6,1.4,2.91,58.52,1.84,8635852570.0,6077472000.0,0.17,0.17,6.86,4.78
1515,300559,佳发教育,10.36,2.07,0.21,44222.0,45876407.0,3.25,10.49,10.16,10.21,10.15,0.77,1.42,-103.07,3.43,4138970914.0,3223377590.0,-0.1,0.0,-11.07,-13.38
1516,000818,航锦科技,24.24,2.06,0.49,481147.0,1162611419.41,3.83,24.44,23.53,23.83,23.75,1.15,7.1,798.72,7.16,16462741440.0,16419385776.0,0.04,0.08,44.37,26.91
1517,301622,英思特,66.46,2.06,1.34,21111.0,140013631.15,3.06,66.99,65.0,65.21,65.12,1.24,7.68,47.0,5.16,7704832745.0,1826858063.0,0.03,0.17,5.43,7.19
1518,300719,安达维尔,15.36,2.06,0.31,39671.0,60691251.13,2.92,15.44,15.0,15.03,15.05,0.88,2.21,-120.68,3.77,3912137472.0,2758965228.0,-0.07,0.0,-4.83,-14.24
1519,300722,新余国科,27.22,2.06,0.55,50270.0,137211922.58,2.25,27.7,27.1,27.1,26.67,0.67,1.82,461.64,11.74,7533311386.0,7533311386.0,-0.04,0.11,7.72,0.74
1520,300615,欣天科技,11.9,2.06,0.24,27639.0,32886916.71,3.77,12.0,11.56,11.65,11.66,0.93,2.1,-152.28,4.39,2302283480.0,1569014667.0,-0.08,0.0,-1.08,3.57
1521,873527,夜光明,17.8,2.06,0.36,26241.0,46839320.95,3.33,18.08,17.5,17.5,17.44,0.61,7.22,73.22,2.76,1068760060.0,646994169.0,-0.06,-0.22,36.4,51.36
1522,688612,威迈斯,24.24,2.06,0.49,14419.0,34816856.0,2.61,24.38,23.76,23.76,23.75,0.83,0.57,25.3,3.05,10204001122.0,6155190359.0,-0.25,-0.21,-2.69,2.97
1523,688558,国盛智科,23.92,2.05,0.48,11618.0,27639293.0,2.77,24.04,23.39,23.4,23.44,1.01,0.88,22.79,1.89,3157440000.0,3157440000.0,0.04,0.04,9.32,12.04
1524,300893,松原安全,33.78,2.05,0.68,10565.0,35385597.5,4.11,34.1,32.74,33.0,33.1,0.6,0.93,26.01,5.58,7646344561.0,3821642671.0,0.0,0.0,9.68,15.76
1525,688507,索辰科技,78.83,2.05,1.58,13947.0,109326962.0,3.57,79.54,76.78,76.84,77.25,0.85,2.83,-112.35,2.47,7024445443.0,3881252596.0,-0.03,-0.34,27.64,44.11
1526,600699,均胜电子,16.44,2.05,0.33,280591.0,459905545.0,1.99,16.54,16.22,16.22,16.11,1.32,2.05,17.01,1.69,23159053367.0,22491311219.0,-0.06,0.0,-3.52,4.91
1527,301361,众智科技,30.39,2.05,0.61,22065.0,66869450.0,2.62,30.57,29.79,29.81,29.78,1.04,7.59,46.42,3.03,3535451040.0,883862760.0,-0.07,0.03,8.11,2.63
1528,001260,坤泰股份,17.46,2.05,0.35,21457.0,37140813.3,2.92,17.52,17.02,17.25,17.11,0.39,6.76,76.32,2.5,2007900000.0,554355000.0,0.0,0.11,1.57,9.95
1529,603335,迪生力,4.48,2.05,0.09,583224.0,257984828.0,10.02,4.63,4.19,4.28,4.39,1.63,13.62,-21.2,8.13,1918087808.0,1918087808.0,-0.22,-1.1,5.41,-19.28
1530,301366,一博科技,45.39,2.05,0.91,22272.0,100874469.0,2.25,45.58,44.58,44.58,44.48,0.72,4.07,-253.41,3.14,6808500045.0,2483333833.0,0.0,-0.02,2.74,4.56
1531,002767,先锋电子,15.93,2.05,0.32,52804.0,83936175.0,2.24,16.04,15.69,15.75,15.61,0.6,4.06,208.45,2.85,2389500000.0,2073804374.0,0.0,0.0,15.35,19.86
1532,000737,北方铜业,8.96,2.05,0.18,734471.0,666858157.79,3.3,9.23,8.94,9.06,8.78,1.67,4.14,11.5,2.57,17066259258.0,15879531960.0,0.0,-0.11,-1.1,14.87
1533,688719,爱科赛博,25.9,2.05,0.52,8864.0,23016781.0,4.49,26.32,25.18,25.32,25.38,0.86,1.02,-35.49,1.77,2988482326.0,2257640270.0,-0.15,-0.23,0.97,-8.48
1534,600770,综艺股份,4.0,2.04,0.08,91360.0,36589150.0,3.06,4.04,3.92,3.94,3.92,1.12,0.7,-200.26,1.58,5200000000.0,5200000000.0,-0.25,-0.25,0.5,-4.53
1535,002230,科大讯飞,46.93,2.04,0.94,308134.0,1442945387.89,2.52,47.16,46.0,46.1,45.99,1.23,1.41,-140.35,6.07,108487732826.0,102736516845.0,-0.04,-0.02,-7.4,-2.88
1536,300813,泰林生物,17.48,2.04,0.35,18754.0,32737413.33,2.69,17.6,17.14,17.21,17.13,0.86,2.47,150.12,2.57,2118562348.0,1329372756.0,-0.06,0.0,-0.74,1.22
1537,603429,集友股份,9.01,2.04,0.18,134196.0,120663743.0,4.98,9.24,8.8,8.87,8.83,1.78,2.56,970.25,3.81,4725614040.0,4725614040.0,-0.11,0.0,38.19,43.93
1538,000559,万向钱潮,6.5,2.04,0.13,351214.0,226839470.9,3.14,6.55,6.35,6.39,6.37,0.79,1.06,18.31,2.27,21474643736.0,21474562129.0,-0.15,0.15,7.62,5.69
1539,300279,和晶科技,6.5,2.04,0.13,126793.0,82329560.0,3.14,6.55,6.35,6.35,6.37,0.7,2.76,20.72,3.15,3179146685.0,2982432388.0,0.0,0.0,5.69,7.26
1540,688701,卓锦股份,6.99,2.04,0.14,21894.0,15119698.0,2.48,6.99,6.82,6.95,6.85,0.84,1.63,197.29,4.69,938598830.0,938598830.0,0.14,0.14,19.28,30.65
1541,300988,津荣天宇,20.02,2.04,0.4,44817.0,88824784.55,2.85,20.08,19.52,19.62,19.62,0.96,4.2,24.61,2.29,2808753087.0,2133953762.0,-0.05,0.1,9.94,10.98
1542,836077,吉林碳谷,11.53,2.04,0.23,55887.0,64214899.58,3.19,11.68,11.32,11.32,11.3,0.73,1.76,72.09,2.74,6775971350.0,3654512100.0,0.0,0.44,12.49,3.32
1543,300713,英可瑞,14.55,2.03,0.29,52081.0,75540615.05,2.73,14.65,14.26,14.26,14.26,1.07,5.98,-61.73,4.23,2309387786.0,1266478458.0,0.14,0.07,0.28,-7.74
1544,300694,蠡湖股份,13.07,2.03,0.26,35346.0,46065222.0,2.73,13.15,12.8,12.8,12.81,0.67,1.64,101.13,2.02,2814192889.0,2814192889.0,0.15,0.0,-7.3,-18.06
1545,688579,山大地纬,9.55,2.03,0.19,46216.0,44008805.0,2.99,9.59,9.31,9.31,9.36,1.15,1.16,180.54,2.77,3820095500.0,3820095500.0,0.1,0.0,3.69,3.92
1546,000509,华塑控股,3.02,2.03,0.06,90136.0,27384445.0,3.04,3.06,2.97,2.98,2.96,1.32,0.84,978.87,24.01,3240846717.0,3240836920.0,0.0,-0.33,-2.89,-9.31
1547,600718,东软集团,10.03,2.03,0.2,274013.0,273698127.0,2.95,10.08,9.79,9.81,9.83,0.92,2.28,-249.64,1.27,12073145784.0,12073145784.0,-0.1,0.0,5.8,-6.87
1548,300876,蒙泰高新,22.65,2.03,0.45,9257.0,20951737.0,3.38,22.95,22.2,22.44,22.2,0.72,1.35,-49.07,2.99,2174451687.0,1548971937.0,0.0,0.13,-14.82,-17.34
1549,603042,华脉科技,13.04,2.03,0.26,193902.0,252030867.0,4.23,13.15,12.61,12.61,12.78,0.55,12.07,-56.07,2.35,2094091514.0,2094091514.0,0.0,-0.31,-12.95,-13.36
1550,603444,吉比特,239.0,2.03,4.75,14617.0,348226931.0,2.52,239.6,233.7,234.24,234.25,1.03,2.03,15.19,3.32,17217823139.0,17217823139.0,-0.08,-0.18,15.74,9.21
1551,920116,星图测控,74.2,2.02,1.47,38558.0,287641914.85,5.1,75.97,72.26,72.26,72.73,0.77,10.54,221.14,22.97,11855305000.0,2713865000.0,0.0,-0.07,117.09,1433.06
1552,002703,浙江世宝,11.59,2.02,0.23,157509.0,181742400.38,3.08,11.68,11.33,11.35,11.36,0.88,2.69,48.91,4.79,9534309331.0,6792297178.0,0.09,0.09,1.13,1.93
1553,001359,平安电工,30.8,2.02,0.61,17811.0,54415678.74,2.72,30.97,30.15,30.33,30.19,0.7,3.84,27.27,3.02,5713497482.0,1428504000.0,0.0,-0.1,16.58,18.87
1554,301006,迈拓股份,14.11,2.02,0.28,13971.0,19736614.25,2.75,14.24,13.86,13.86,13.83,1.36,1.62,61.12,1.57,1965240800.0,1214674871.0,-0.21,0.0,3.29,7.06
1555,002762,*ST金比,4.54,2.02,0.09,184627.0,83773509.37,4.94,4.64,4.42,4.42,4.45,0.67,8.73,-184.81,1.86,1607273500.0,959658090.0,0.0,0.44,-9.02,-21.72
1556,300401,花园生物,15.15,2.02,0.3,234473.0,349743810.7,4.65,15.23,14.54,14.98,14.85,0.49,4.39,21.33,2.67,8233529928.0,8100452343.0,-0.13,-0.33,10.66,4.12
1557,300293,蓝英装备,20.66,2.02,0.41,55749.0,115207482.5,2.77,20.84,20.28,20.28,20.25,0.83,1.99,-349.35,7.9,6992131270.0,5791740045.0,-0.05,-0.19,-3.28,-9.07
1558,600691,阳煤化工,2.03,2.01,0.04,240631.0,49588628.0,10.05,2.17,1.97,1.97,1.99,1.64,1.01,-8.62,1.26,4823243363.0,4822439483.0,0.5,1.0,-2.87,-8.56
1559,300305,裕兴股份,5.57,2.01,0.11,52442.0,29071398.0,2.56,5.58,5.44,5.44,5.46,1.12,1.63,-9.25,0.97,2090979626.0,1790611249.0,0.72,0.36,5.29,2.2
1560,301159,三维天地,28.88,2.01,0.57,12977.0,37482608.0,2.58,29.14,28.41,28.64,28.31,0.78,3.06,-18.84,3.55,2233868000.0,1226645481.0,0.0,-0.03,-5.03,-13.46
1561,301487,盟固利,17.78,2.01,0.35,56350.0,100045307.02,2.52,17.87,17.43,17.43,17.43,0.8,2.07,-86.35,4.4,8171980268.0,4850277391.0,-0.06,-0.06,-2.52,-16.41
1562,300655,晶瑞电材,8.64,2.01,0.17,223289.0,191939273.63,2.6,8.68,8.46,8.49,8.47,0.79,2.24,52.61,3.73,9154616276.0,8618923593.0,-0.12,0.12,4.73,-7.69
1563,300636,同和药业,7.09,2.01,0.14,47113.0,33281654.3,2.88,7.13,6.93,7.0,6.95,0.62,1.28,35.95,1.28,2988628912.0,2604565980.0,0.14,0.0,-9.91,-11.04
1564,301060,兰卫医学,9.12,2.01,0.18,49011.0,44538873.0,2.35,9.14,8.93,8.99,8.94,0.86,1.38,-113.01,2.21,3652715040.0,3241055358.0,-0.11,0.22,2.82,0.11
1565,300206,理邦仪器,11.68,2.01,0.23,63889.0,74545748.0,3.23,11.8,11.43,11.46,11.45,0.87,1.89,26.0,3.27,6770467881.0,3952273319.0,-0.09,-0.09,6.76,4.47
1566,300781,因赛集团,52.68,2.01,1.04,23994.0,126283579.23,2.07,52.96,51.89,52.25,51.64,0.89,2.96,109.68,8.96,5793208643.0,4272568466.0,0.0,0.15,-18.45,-10.76
1567,000020,深华发Ａ,11.73,2.0,0.23,23768.0,27746694.0,1.74,11.75,11.55,11.55,11.5,1.21,1.31,140.18,8.11,3321481193.0,2125070036.0,0.17,0.0,-7.86,-5.56
1568,000021,深科技,17.87,2.0,0.35,274022.0,489599334.6,2.91,18.05,17.54,17.64,17.52,1.53,1.76,38.96,2.29,27887700198.0,27884771751.0,-0.06,0.0,-6.44,-6.24
1569,002501,利源股份,2.04,2.0,0.04,992418.0,204022273.0,4.0,2.08,2.0,2.0,2.0,1.03,2.8,-86.1,22.15,7242000000.0,7241997972.0,-0.49,-0.49,31.61,27.5
1570,000545,金浦钛业,2.04,2.0,0.04,194108.0,39527135.0,2.5,2.05,2.0,2.01,2.0,1.15,1.97,-32.72,1.78,2013139516.0,2010222316.0,-0.49,0.49,0.49,-6.42
1571,300430,诚益通,16.33,2.0,0.32,71817.0,117300712.0,2.75,16.52,16.08,16.15,16.01,0.68,2.76,88.53,1.99,4458867243.0,4243562120.0,-0.06,-0.18,3.62,6.73
1572,688728,格科微,13.79,2.0,0.27,75662.0,103547756.0,3.03,13.84,13.43,13.6,13.52,1.05,0.52,-173.31,4.64,35862090138.0,19980154116.0,0.15,0.07,-0.29,2.6
1573,300877,金春股份,14.8,2.0,0.29,18167.0,26769769.0,3.17,14.89,14.43,14.46,14.51,1.12,1.51,127.1,1.12,1776000000.0,1775984460.0,0.07,0.14,5.71,5.34
1574,002342,巨力索具,4.58,2.0,0.09,978801.0,445712409.43,4.9,4.66,4.44,4.5,4.49,0.9,10.25,183.62,1.81,4396800000.0,4372480200.0,0.0,0.22,47.74,41.8
1575,688188,柏楚电子,194.2,2.0,3.81,8121.0,157003905.0,2.2,194.38,190.2,190.68,190.39,1.1,0.39,39.15,6.94,40003984696.0,40003984696.0,-0.01,-0.08,-2.48,-0.03
1576,002276,万马股份,14.81,2.0,0.29,1487399.0,2189413690.6,3.17,14.93,14.47,14.48,14.52,1.26,14.8,45.89,2.59,15021632471.0,14885284206.0,0.0,0.07,75.89,75.06
1577,301111,粤万年青,14.32,1.99,0.28,14370.0,20568638.0,2.28,14.4,14.08,14.16,14.04,0.7,0.9,-166.43,3.01,2291200000.0,2291200000.0,0.0,0.21,-5.85,-12.04
1578,301022,海泰科,27.61,1.99,0.54,47083.0,128744905.51,3.62,27.68,26.7,26.92,27.07,0.79,9.02,42.03,2.41,2340239282.0,1441611946.0,0.0,-0.14,32.55,36.01
1579,603568,伟明环保,19.48,1.99,0.38,82848.0,160890084.0,3.19,19.66,19.05,19.09,19.1,1.44,0.49,11.6,2.39,33206545358.0,33084639518.0,-0.05,-0.1,-3.75,-9.94
1580,300148,天舟文化,4.61,1.99,0.09,702182.0,325163897.65,5.31,4.75,4.51,4.57,4.52,1.23,8.76,39.69,4.0,3850914371.0,3695511234.0,0.0,0.22,16.71,27.0
1581,605001,威奥股份,6.66,1.99,0.13,73042.0,48505745.0,4.44,6.74,6.45,6.45,6.53,1.19,1.86,39.62,0.96,2616620760.0,2616620760.0,0.0,0.0,3.1,2.15
1582,002654,万润科技,11.28,1.99,0.22,161938.0,182098753.74,3.07,11.36,11.02,11.08,11.06,0.82,1.92,-1298.05,6.21,9535012696.0,9534335896.0,-0.09,0.0,-2.34,-7.01
1583,300572,安车检测,17.95,1.99,0.35,50937.0,91039395.0,3.75,18.18,17.52,17.61,17.6,0.67,2.77,-254.68,2.3,4110349175.0,3295558270.0,0.06,0.22,21.2,-0.66
1584,300895,铜牛信息,46.17,1.99,0.9,131799.0,607767988.17,4.4,46.69,44.7,45.59,45.27,0.99,9.54,-76.0,7.93,6500766334.0,6379412967.0,0.0,0.13,55.4,30.76
1585,002705,新宝股份,13.82,1.99,0.27,83560.0,115364323.65,3.1,13.98,13.56,13.56,13.55,1.09,1.03,11.36,1.34,11220123280.0,11168790589.0,0.0,0.07,-11.69,-7.87
1586,688659,元琛科技,7.17,1.99,0.14,35951.0,25818675.0,4.84,7.27,6.93,7.07,7.03,1.32,2.25,113.79,2.08,1147200000.0,1147200000.0,0.0,0.0,6.22,6.22
1587,000623,吉林敖东,15.97,1.98,0.31,164442.0,265010153.69,3.07,16.44,15.96,15.96,15.66,1.64,1.38,9.24,0.65,19098449330.0,19021537108.0,0.0,0.0,-3.97,-7.53
1588,831526,凯华材料,28.35,1.98,0.55,10240.0,29037082.81,3.02,28.7,27.86,27.99,27.8,0.76,1.96,170.8,10.36,2344545000.0,1484618228.0,0.25,0.14,8.12,9.29
1589,300448,浩云科技,6.19,1.98,0.12,117152.0,72530520.68,3.46,6.25,6.04,6.04,6.07,0.87,2.37,-172.35,3.31,4187640719.0,3056460453.0,0.0,0.0,-6.07,-6.07
1590,002512,达华智能,4.13,1.98,0.08,274427.0,113877042.55,4.2,4.21,4.04,4.05,4.05,0.92,2.66,-30.64,10.16,4737500417.0,4266796681.0,-0.24,-0.24,-8.63,-12.87
1591,300050,世纪鼎利,5.15,1.98,0.1,167761.0,86121246.58,2.97,5.19,5.04,5.05,5.05,1.32,3.08,355.03,7.08,2805960598.0,2804249927.0,0.19,0.39,-0.19,-3.74
1592,688513,苑东生物,33.96,1.98,0.66,53413.0,181157661.0,5.5,34.87,33.04,33.4,33.3,0.82,3.03,24.74,2.17,5995035414.0,5995035414.0,0.15,0.03,11.09,12.71
1593,300302,同有科技,13.93,1.98,0.27,96700.0,134593639.19,3.15,14.04,13.61,13.7,13.66,0.88,2.62,-63.42,6.43,6676144706.0,5138622307.0,-0.29,-0.07,0.36,-11.61
1594,300340,科恒股份,9.26,1.98,0.18,50374.0,46539207.0,2.64,9.3,9.06,9.14,9.08,1.26,2.39,276.05,45.85,2554772560.0,1948901844.0,0.0,0.11,-1.8,-2.83
1595,002902,铭普光磁,17.06,1.97,0.33,49182.0,83763391.5,2.63,17.15,16.71,16.74,16.73,1.17,2.77,-21.38,4.42,4017238678.0,3030406117.0,-0.06,0.12,-13.84,-27.03
1596,831039,国义招标,9.82,1.97,0.19,15816.0,15523091.41,3.95,9.94,9.56,9.72,9.63,0.39,1.03,33.45,2.76,1510512400.0,1510511418.0,0.0,0.0,26.71,29.21
1597,002209,达 意 隆,11.38,1.97,0.22,92926.0,105202189.0,3.76,11.56,11.14,11.15,11.16,0.99,5.98,19.2,3.02,2264950589.0,1767356777.0,0.09,0.0,10.92,22.63
1598,300554,三超新材,19.15,1.97,0.37,13714.0,26231831.0,2.34,19.25,18.81,18.81,18.78,0.65,1.73,-87.4,3.35,2187151700.0,1515506507.0,0.1,0.16,-3.62,-12.56
1599,000676,智度股份,7.82,1.96,0.15,238246.0,187205000.0,3.52,7.95,7.68,7.69,7.67,1.45,1.88,55.65,2.35,9894561661.0,9888611947.0,0.0,-0.13,-6.68,-7.57
1600,600881,亚泰集团,1.56,1.96,0.03,402676.0,62872531.0,3.27,1.58,1.53,1.53,1.53,0.89,1.25,-2.69,2.27,5042155541.0,5042155541.0,-0.64,0.0,-5.45,-13.81
1601,301125,腾亚精工,11.97,1.96,0.23,33950.0,40690600.52,3.58,12.12,11.7,11.73,11.74,0.98,5.76,459.35,2.8,1696842302.0,705899867.0,0.0,-0.08,5.74,7.84
1602,688249,晶合集成,21.32,1.96,0.41,106672.0,226631013.0,3.16,21.5,20.84,20.85,20.91,1.42,0.91,78.93,2.03,42770801547.0,25087905346.0,-0.19,-0.37,-8.5,-8.65
1603,002400,省广集团,7.27,1.96,0.14,823120.0,599773194.84,3.79,7.4,7.13,7.13,7.13,1.65,4.77,123.34,2.56,12674060921.0,12549216773.0,-0.27,-0.14,-11.23,-9.01
1604,002903,宇环数控,20.81,1.96,0.4,80278.0,166286487.0,3.48,21.07,20.36,20.59,20.41,0.86,7.71,242.03,4.0,3242302050.0,2166038546.0,-0.05,0.05,25.36,28.06
1605,301001,凯淳股份,29.63,1.96,0.57,23070.0,68629665.0,4.06,30.33,29.15,29.5,29.06,0.84,4.59,377.03,2.88,2370400000.0,1490389000.0,0.03,-0.03,-18.53,-15.34
1606,300910,瑞丰新材,61.8,1.96,1.19,50421.0,310399843.41,4.31,62.6,59.99,60.86,60.61,1.13,2.47,23.13,5.08,18032617983.0,12623697386.0,0.08,0.16,29.78,29.86
1607,000903,云内动力,3.14,1.95,0.06,470995.0,148053111.92,4.87,3.18,3.03,3.05,3.08,0.82,2.45,-62.21,3.79,6122275203.0,6029621575.0,0.0,0.32,26.1,-8.72
1608,301339,通行宝,22.52,1.95,0.43,51766.0,116932846.76,3.58,22.83,22.04,22.15,22.09,1.0,4.31,49.04,3.37,9335075976.0,2703379125.0,-0.09,0.0,13.45,10.72
1609,688449,联芸科技,41.35,1.95,0.79,26716.0,110115019.0,2.98,41.53,40.32,40.32,40.56,1.3,4.1,-191.79,11.2,19021000000.0,2691781501.0,0.02,0.05,0.22,1.27
1610,002130,沃尔核材,18.33,1.95,0.35,554095.0,1014203975.0,2.89,18.44,17.92,17.92,17.98,1.0,4.44,23.06,4.01,23093940641.0,22896902160.0,0.0,0.0,-28.2,-27.41
1611,839729,永顺生物,8.88,1.95,0.17,42558.0,37566726.41,2.87,8.94,8.69,8.69,8.71,0.72,5.54,76.66,3.62,2427348000.0,682206364.0,0.23,0.23,27.04,33.94
1612,300097,ST智云,4.19,1.95,0.08,44394.0,18498266.0,2.43,4.2,4.1,4.1,4.11,0.6,1.64,-10.82,2.61,1209023113.0,1131341682.0,0.0,0.0,-16.7,-21.54
1613,603098,森特股份,9.91,1.95,0.19,52489.0,52205403.0,3.4,10.13,9.8,9.92,9.72,1.15,0.97,39.22,1.92,5348426782.0,5339507782.0,0.0,0.1,7.6,3.23
1614,301152,天力锂能,21.94,1.95,0.42,21516.0,47139841.0,2.37,22.08,21.57,21.57,21.52,0.85,3.07,-16.06,1.87,2605155754.0,1537363379.0,-0.05,0.0,-20.68,-33.21
1615,002426,胜利精密,2.62,1.95,0.05,909511.0,238544987.0,1.95,2.64,2.59,2.6,2.57,0.92,2.67,-93.72,3.63,8914879900.0,8914811714.0,0.0,0.0,-6.76,-2.24
1616,300031,宝通科技,22.99,1.95,0.44,166153.0,381294784.0,3.06,23.24,22.55,22.69,22.55,0.78,4.72,44.12,2.46,9626739743.0,8091917504.0,-0.04,-0.04,24.81,25.49
1617,301180,万祥科技,13.16,1.94,0.25,37280.0,48889653.28,3.33,13.25,12.82,12.92,12.91,0.76,0.93,339.48,4.02,5264131600.0,5264131600.0,0.0,0.08,-4.5,-14.93
1618,001387,雪祺电气,12.58,1.94,0.24,29995.0,37702712.76,3.81,12.74,12.27,12.27,12.34,1.22,2.63,30.24,1.87,2302623072.0,1432991989.0,0.08,0.0,-5.77,-8.77
1619,300385,雪浪环境,4.72,1.94,0.09,56611.0,26807773.0,3.89,4.78,4.6,4.67,4.63,1.06,1.96,-8.4,8.14,1572448799.0,1366407588.0,-0.42,-0.21,2.83,0.21
1620,830946,森萱医药,9.96,1.94,0.19,37801.0,37510971.52,2.46,10.0,9.76,9.76,9.77,0.42,0.89,36.62,3.48,4252106666.0,4250799416.0,0.2,0.4,12.67,13.05
1621,000520,凤凰航运,4.2,1.94,0.08,172428.0,73213675.68,5.83,4.35,4.11,4.11,4.12,1.17,1.7,-424.38,9.31,4250750511.0,4250750511.0,-0.24,-0.24,-3.45,-10.26
1622,688757,胜科纳米,23.68,1.94,0.45,38207.0,90668136.0,4.43,24.13,23.1,23.2,23.23,0.8,11.73,207.28,10.43,9550415988.0,771369654.0,0.04,-0.04,160.79,160.79
1623,688636,智明达,41.54,1.94,0.79,16685.0,69188196.0,4.39,42.22,40.43,40.71,40.75,0.84,1.48,140.54,4.2,4675805707.0,4673317046.0,0.1,0.22,51.5,47.83
1624,000972,*ST中基,3.17,1.93,0.06,64328.0,20340022.72,3.54,3.21,3.1,3.12,3.11,1.29,0.83,-84.24,-70.62,2444968945.0,2444968945.0,0.0,0.0,5.32,13.21
1625,300666,江丰电子,74.4,1.93,1.41,74876.0,555332850.99,2.93,74.78,72.64,73.24,72.99,0.87,3.4,31.39,4.21,19741190575.0,16406770807.0,0.0,0.03,5.85,7.13
1626,002679,福建金森,8.47,1.93,0.16,36359.0,30887724.4,2.65,8.55,8.33,8.38,8.31,1.15,1.54,-23.81,2.68,1996853320.0,1996853320.0,0.24,0.12,4.83,4.31
1627,301502,华阳智能,35.89,1.93,0.68,10488.0,37607150.0,2.67,36.18,35.24,35.47,35.21,1.24,4.31,65.1,2.46,2048726815.0,872351313.0,0.03,-0.06,-2.47,-16.73
1628,873703,广厦环能,24.3,1.93,0.46,11292.0,27409792.84,1.89,24.45,24.0,24.0,23.84,0.42,2.07,43.33,2.39,2616138000.0,1323745052.0,-0.08,0.25,9.31,17.16
1629,301072,中捷精工,19.5,1.93,0.37,12566.0,24376381.0,4.13,19.6,18.81,19.29,19.13,1.02,1.87,-47.64,2.68,2048568600.0,1309228499.0,0.05,0.05,2.47,2.96
1630,605066,天正电气,7.43,1.92,0.14,261823.0,193850507.0,2.88,7.47,7.26,7.3,7.29,1.8,5.21,27.54,2.04,3764170811.0,3733078119.0,0.0,0.0,22.61,23.42
1631,603390,通达电气,10.09,1.92,0.19,46269.0,46520618.0,2.32,10.12,9.89,9.92,9.9,0.77,1.32,47.34,2.21,3548370319.0,3529030624.0,0.0,0.0,11.49,-8.11
1632,300447,全信股份,13.26,1.92,0.25,54418.0,72178840.0,4.61,13.55,12.95,13.01,13.01,1.06,2.7,73.75,2.07,4141235573.0,2669654231.0,0.15,0.08,7.19,-6.42
1633,603810,丰山集团,14.35,1.92,0.27,51476.0,74514259.0,4.26,14.74,14.14,14.14,14.08,1.84,3.12,36.2,1.57,2371280043.0,2371280043.0,0.0,-0.14,42.64,58.74
1634,300269,联建光电,3.72,1.92,0.07,115140.0,42866586.72,3.56,3.76,3.63,3.63,3.65,0.77,2.19,-114.18,23.64,2042703429.0,1955511383.0,0.0,0.0,-4.86,-6.53
1635,600167,联美控股,5.87,1.91,0.11,101796.0,60211656.0,5.73,6.1,5.77,5.83,5.76,2.07,0.45,5.37,1.16,13282873518.0,13282873518.0,-0.34,-0.51,5.77,2.44
1636,300370,安控科技,2.67,1.91,0.05,195769.0,52249314.02,3.05,2.69,2.61,2.61,2.62,1.04,1.48,-41.0,7.78,4179554521.0,3537342088.0,-0.37,0.0,-6.64,-15.51
1637,300353,东土科技,20.84,1.91,0.39,982257.0,2039931084.52,7.63,21.59,20.03,20.32,20.45,1.11,18.81,-64.22,6.06,12814367640.0,10882701079.0,-0.1,0.0,75.72,81.53
