序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3413,600859,王府井,13.91,0.07,0.01,351186.0,488235462.0,2.37,14.1,13.77,13.8,13.9,0.88,3.09,70.94,0.8,15788537863.0,15787100126.0,-0.07,0.0,5.78,-9.73
3414,300218,安利股份,13.66,0.07,0.01,51706.0,70953635.4,1.68,13.87,13.64,13.65,13.65,0.82,2.39,15.96,2.01,2964042420.0,2954335542.0,0.0,0.07,-15.57,-11.3
3415,300487,蓝晓科技,43.54,0.07,0.03,16253.0,71041186.2,1.84,44.15,43.35,43.51,43.51,0.76,0.53,28.61,5.61,22103754999.0,13350531046.0,-0.02,-0.05,-11.5,-9.05
3416,300682,朗新集团,14.01,0.07,0.01,155693.0,217897354.16,2.07,14.17,13.88,14.0,14.0,0.71,1.51,1122.42,2.16,15134265177.0,14487313723.0,-0.07,0.0,39.13,14.84
3417,600113,浙江东日,13.88,0.07,0.01,26076.0,36184280.0,1.87,13.96,13.7,13.88,13.87,0.75,0.63,57.95,2.4,5848569241.0,5710664501.0,-0.07,-0.07,5.71,0.58
3418,301292,海科新源,14.16,0.07,0.01,21160.0,30181289.0,2.05,14.44,14.15,14.23,14.15,0.77,2.49,-71.37,1.11,3154788216.0,1205298577.0,-0.14,-0.07,10.63,8.26
3419,688517,金冠电气,13.62,0.07,0.01,16224.0,22167210.0,1.76,13.76,13.52,13.74,13.61,1.21,1.19,24.36,2.23,1860671566.0,1860671566.0,0.07,-0.22,0.96,0.44
3420,301227,森鹰窗业,16.94,0.06,0.01,12528.0,21334344.61,1.77,17.18,16.88,17.01,16.93,1.0,3.69,-50.57,0.97,1613204670.0,574857630.0,0.12,0.3,1.13,4.57
3421,002158,汉钟精机,16.55,0.06,0.01,35607.0,59044565.0,0.79,16.65,16.52,16.55,16.54,0.58,0.67,18.8,2.05,8849684500.0,8831115566.0,0.0,0.06,-8.51,-10.64
3422,300717,华信新材,15.94,0.06,0.01,28708.0,45852769.0,1.38,16.08,15.86,16.0,15.93,1.18,2.82,25.78,2.27,1638233500.0,1623543196.0,0.0,-0.06,8.81,14.43
3423,603096,新经典,17.56,0.06,0.01,14538.0,25769079.0,1.65,17.83,17.54,17.54,17.55,0.72,0.94,27.64,1.4,2708359997.0,2708359997.0,-0.17,-0.4,-11.31,-7.34
3424,688135,利扬芯片,16.67,0.06,0.01,43583.0,73072814.0,2.4,16.93,16.53,16.53,16.66,1.82,2.17,-110.56,3.18,3354142661.0,3354142661.0,0.0,-0.3,-0.77,-16.94
3425,600009,上海机场,32.1,0.06,0.02,53208.0,170799768.0,1.06,32.22,31.88,32.05,32.08,1.03,0.28,38.48,1.89,79880251014.0,61590139931.0,-0.12,-0.06,-3.2,-6.0
3426,837046,亿能电力,16.21,0.06,0.01,45069.0,73532870.05,3.09,16.65,16.15,16.15,16.2,0.52,8.76,69.99,6.53,1639641500.0,833821927.0,0.0,0.0,24.12,7.35
3427,301369,联动科技,47.09,0.06,0.03,5745.0,27268799.0,1.68,47.86,47.07,47.11,47.06,0.69,2.37,-311.63,2.24,3285293560.0,1142533745.0,0.04,-0.21,-7.87,-10.1
3428,600129,太极集团,20.59,0.05,0.01,97592.0,202552474.0,3.16,21.11,20.46,20.5,20.58,0.8,1.75,38.46,3.22,11466380419.0,11466380419.0,-0.05,-0.05,9.7,-16.71
3429,300770,新媒股份,39.0,0.05,0.02,14189.0,55472781.62,1.1,39.25,38.82,38.9,38.98,0.52,0.62,13.89,2.39,8936105451.0,8936105451.0,-0.13,-0.05,-1.86,-3.49
3430,870656,海昇药业,21.17,0.05,0.01,20346.0,43252788.74,2.36,21.5,21.0,21.0,21.16,0.68,10.17,31.93,2.54,1693600000.0,423402117.0,-0.14,-0.14,35.71,35.71
3431,300540,蜀道装备,20.73,0.05,0.01,14663.0,30516062.0,1.74,21.02,20.66,20.66,20.72,0.49,1.01,-1306.61,3.13,3428244335.0,3008564179.0,0.0,0.0,-15.8,-15.46
3432,603656,泰禾智能,19.07,0.05,0.01,20572.0,39277885.0,1.36,19.2,18.94,19.1,19.06,0.47,1.12,418.35,2.7,3496968077.0,3496968077.0,-0.21,-0.1,-3.25,0.79
3433,300482,万孚生物,20.59,0.05,0.01,34265.0,70743453.65,1.02,20.75,20.54,20.65,20.58,0.83,0.8,13.1,1.76,9912527449.0,8861895252.0,-0.1,-0.05,-7.59,-8.12
3434,301109,军信股份,20.79,0.05,0.01,58813.0,123385943.17,3.08,21.32,20.68,20.78,20.78,0.93,5.96,16.95,1.51,11718147513.0,2050950776.0,0.1,-0.05,21.3,24.64
3435,301047,义翘神州,60.43,0.05,0.03,3911.0,23751400.08,1.09,61.09,60.43,60.5,60.4,0.8,0.33,81.18,1.27,7350508319.0,7226256927.0,-0.12,-0.12,1.56,-2.3
3436,603655,朗博科技,24.25,0.04,0.01,9794.0,23726112.0,1.69,24.4,23.99,23.99,24.24,0.59,0.92,62.41,4.65,2570500000.0,2570500000.0,-0.04,0.08,-0.37,-0.16
3437,603929,亚翔集成,28.52,0.04,0.01,18821.0,53687882.0,1.26,28.72,28.36,28.55,28.51,0.47,0.88,18.55,3.17,6085027200.0,6085027200.0,0.0,0.04,-3.42,2.85
3438,603051,鹿山新材,24.57,0.04,0.01,23952.0,58643853.0,3.18,24.88,24.1,24.23,24.56,1.14,2.3,45.24,1.66,2570590869.0,2561716185.0,0.04,0.0,2.72,1.91
3439,300906,日月明,24.16,0.04,0.01,10898.0,26385597.26,1.28,24.37,24.06,24.37,24.15,1.14,1.52,35.57,2.11,1932800000.0,1728149700.0,0.0,0.0,-6.1,-7.01
3440,003043,华亚智能,53.56,0.04,0.02,20857.0,113154461.0,4.03,55.35,53.19,54.1,53.54,1.04,4.28,74.05,3.03,5089630373.0,2608699359.0,-0.13,0.07,33.77,29.37
3441,301613,新铝时代,69.0,0.03,0.02,32906.0,225728654.65,2.83,69.45,67.5,69.0,68.98,0.58,13.73,31.42,4.27,6616697385.0,1654178400.0,0.01,0.12,27.57,19.69
3442,301633,港迪技术,67.21,0.03,0.02,4709.0,31778835.0,1.19,67.94,67.14,67.55,67.19,0.59,3.38,-180.2,4.06,3742252800.0,935563200.0,-0.03,-0.1,-19.45,-19.49
3443,301489,思泉新材,60.58,0.02,0.01,13091.0,79733090.85,2.11,61.78,60.5,60.63,60.57,0.83,3.85,49.29,3.32,3494335214.0,2059748230.0,-0.03,0.0,-0.2,-11.23
3444,002177,御银股份,4.49,0.0,0.0,307917.0,139742189.0,2.23,4.59,4.49,4.49,4.49,0.5,4.6,130.02,2.01,3417748910.0,3004753412.0,0.0,-0.22,-1.97,-0.22
3445,002151,北斗星通,25.55,0.0,0.0,33028.0,84600412.7,0.94,25.76,25.52,25.53,25.55,0.57,0.75,-117.08,2.73,13872604775.0,11284035678.0,-0.12,-0.16,3.36,-3.73
3446,600293,三峡新材,2.9,0.0,0.0,288040.0,82390413.0,3.45,2.92,2.82,2.87,2.9,1.7,2.48,80.99,1.92,3364420633.0,3364420633.0,0.69,0.69,-8.23,-7.94
3447,300174,元力股份,14.52,0.0,0.0,34265.0,49819356.0,1.31,14.66,14.47,14.51,14.52,0.66,0.94,28.23,1.58,5288334427.0,5269952688.0,-0.07,0.0,-2.55,-0.68
3448,002323,雅博股份,1.44,0.0,0.0,716201.0,104136908.14,3.47,1.48,1.43,1.45,1.44,0.69,3.38,-39.63,7.82,3054031404.0,3053387691.0,-0.69,-0.69,-7.69,-11.11
3449,000002,万  科Ａ,6.81,0.0,0.0,924542.0,625457245.17,2.79,6.82,6.63,6.7,6.81,0.8,0.95,-3.25,0.41,81248131498.0,66172333241.0,0.0,0.0,-6.33,-6.2
3450,600369,西南证券,4.12,0.0,0.0,203318.0,84205455.0,1.21,4.17,4.12,4.13,4.12,0.81,0.32,27.87,1.05,27377849591.0,26018249591.0,0.0,0.0,-5.5,-11.78
3451,000552,甘肃能化,2.35,0.0,0.0,263590.0,62134508.56,0.85,2.37,2.35,2.36,2.35,0.71,0.71,61.58,0.75,12576736115.0,8755578415.0,0.0,-0.42,-9.62,-14.55
3452,600371,万向德农,9.21,0.0,0.0,91315.0,84481317.0,1.63,9.33,9.18,9.2,9.21,0.66,3.12,29.7,4.52,2694643380.0,2694643380.0,0.11,0.11,0.55,6.72
3453,688221,前沿生物-U,8.58,0.0,0.0,13520.0,11642724.0,1.75,8.7,8.55,8.63,8.58,0.7,0.36,-18.21,2.93,3213884843.0,3213884843.0,-0.35,-0.35,-11.55,-12.09
3454,600704,物产中大,5.1,0.0,0.0,569956.0,291593967.0,1.57,5.17,5.09,5.1,5.1,1.28,1.11,6.73,0.64,26482065129.0,26283880404.0,0.0,-0.2,7.14,0.79
3455,600651,飞乐音响,3.97,0.0,0.0,139347.0,55476957.0,2.27,4.03,3.94,3.95,3.97,0.74,0.56,2093.25,4.05,9952901220.0,9952901220.0,0.0,0.0,0.76,-4.11
